'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtMost2(Declaration APPROVED by ADMINISTRATION)';'AtMost2';'';'[Declaration APPROVED by ADMINISTRATION]';1.000;0.089;0.089;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Declaration APPROVED by ADMINISTRATION, Declaration APPROVED by PRE_APPROVER)';'NotCoExistence';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration APPROVED by PRE_APPROVER]';0.999;0.078;0.078;0.898;0.849;0.762;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by DIRECTOR)';'NotChainSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration FINAL_APPROVED by DIRECTOR]';1.000;0.073;0.073;0.982;0.777;0.763;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Declaration APPROVED by ADMINISTRATION, Declaration REJECTED by ADMINISTRATION)';'NotSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration REJECTED by ADMINISTRATION]';0.997;0.091;0.091;0.973;0.784;0.763;FALSE;FALSE;FALSE;FALSE
'NotResponse(Declaration APPROVED by ADMINISTRATION, Declaration REJECTED by BUDGET OWNER)';'NotResponse';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration REJECTED by BUDGET OWNER]';0.992;0.070;0.069;0.992;0.763;0.757;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Declaration APPROVED by ADMINISTRATION, Declaration REJECTED by DIRECTOR)';'NotCoExistence';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration REJECTED by DIRECTOR]';0.999;0.070;0.070;0.999;0.763;0.762;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Declaration REJECTED by EMPLOYEE)';'NotChainSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration REJECTED by EMPLOYEE]';1.000;0.094;0.094;0.953;0.801;0.763;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Declaration APPROVED by ADMINISTRATION, Declaration REJECTED by MISSING)';'NotCoExistence';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration REJECTED by MISSING]';1.000;0.071;0.071;0.980;0.778;0.763;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Declaration APPROVED by ADMINISTRATION, Declaration REJECTED by PRE_APPROVER)';'NotCoExistence';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration REJECTED by PRE_APPROVER]';1.000;0.071;0.071;0.984;0.775;0.763;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Declaration APPROVED by ADMINISTRATION, Declaration SAVED by EMPLOYEE)';'NotCoExistence';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration SAVED by EMPLOYEE]';1.000;0.071;0.071;0.985;0.774;0.763;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Declaration SUBMITTED by EMPLOYEE)';'NotChainSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Declaration SUBMITTED by EMPLOYEE]';1.000;0.182;0.182;0.772;0.989;0.763;FALSE;FALSE;FALSE;FALSE
'RespondedExistence(Declaration APPROVED by ADMINISTRATION, End trip)';'RespondedExistence';'[Declaration APPROVED by ADMINISTRATION]';'[End trip]';1.000;0.070;0.070;1.000;0.763;0.763;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, End trip)';'NotChainSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[End trip]';0.993;0.159;0.158;0.756;1.000;0.756;FALSE;FALSE;FALSE;FALSE
'Response(Declaration APPROVED by ADMINISTRATION, Payment Handled)';'Response';'[Declaration APPROVED by ADMINISTRATION]';'[Payment Handled]';0.996;0.070;0.070;0.996;0.763;0.759;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Declaration APPROVED by ADMINISTRATION, Payment Handled)';'NotChainSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Payment Handled]';1.000;0.156;0.156;0.792;0.963;0.763;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Declaration APPROVED by ADMINISTRATION, Permit APPROVED by ADMINISTRATION)';'NotSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Permit APPROVED by ADMINISTRATION]';1.000;0.137;0.137;0.965;0.790;0.763;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Declaration APPROVED by ADMINISTRATION, Permit APPROVED by BUDGET OWNER)';'NotSuccession';'[Declaration APPROVED by ADMINISTRATION]';'[Permit APPROVED by BUDGET OWNER]';1.000;0.094;0.094;0.987;0.773;0.763;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Declaration APPROVED by ADMINISTRATION, Permit APPROVED by PRE_APPROVER)';'NotRespondedExistence';'[Declaration APPROVED by ADMINISTRATION]';'[Permit APPROVED by PRE_APPROVER]';0.993;0.070;0.069;0.993;0.763;0.757;FALSE;FALSE;FALSE;FALSE
